link,image_link,price,description
/baku/ads/smart-watch-simcard-id-105609694,"https://img5.lalafo.com/i/posters/api_webp/8d/73/ab/01d1737035a663bdc1274144b8.webp,https://img5.lalafo.com/i/posters/api/8d/73/ab/01d1737035a663bdc1274144b8.jpeg",100 AZN,Smart watch (Sim Card)
/zerdab/ads/divan-xalca-perde-her-bir-weyi-su-ile-temizdiyir400-manata-alinib-id-86159808,"https://img5.lalafo.com/i/posters/api_webp/47/64/3d/3719ee5e3c511c83732425e63b.webp,https://img5.lalafo.com/i/posters/api/47/64/3d/3719ee5e3c511c83732425e63b.jpeg",150 AZN,Divan xalca perde her bir weyi su ile temizdiyir. 400 manata alinib
/khyrdalan/ads/tozsoran-yenu-alinib-qutusundadir-180-alinib-pul-lazim-deye-130-id-88530881,"https://img5.lalafo.com/i/posters/api_webp/45/a5/d2/4c1fcab0f9801fc0a566e93183.webp,https://img5.lalafo.com/i/posters/api/45/a5/d2/4c1fcab0f9801fc0a566e93183.jpeg",130 AZN,Tozsoran. Yenu alinib. Qutusundadir. 180 alinib pul lazim deye 130
/khyrdalan/ads/dt3-max-ultra-id-104723633,"https://img5.lalafo.com/i/posters/api_webp/19/f5/52/dt3-max-ultra-104723633_image-1667463393.webp,https://img5.lalafo.com/i/posters/api/19/f5/52/dt3-max-ultra-104723633_image-1667463393.jpeg",130 AZN,125-115-100 yox cemi 90 Azn Dt3 max ultra 3Deyşile bilen Kemerle bu
/khyrdalan/ads/apple-watch-series-6-40-mm-dubai-apple-magazasindan-alinib-2-3-defeden-id-105624840,"https://img5.lalafo.com/i/posters/api_webp/1d/ec/37/e2c11e135df05ffb47957e88c0.webp,https://img5.lalafo.com/i/posters/api/1d/ec/37/e2c11e135df05ffb47957e88c0.jpeg",600 AZN,Apple Watch series 6 40 mm Dubai Apple magazasindan alinib 2 3 defeden
/baku/ads/metbex-mebeli-satilir-280m-tam-idiyal-veziyetde-usdu-tokme-mermer-id-81802508,"https://img5.lalafo.com/i/posters/api_webp/41/38/88/cd38fcca7be0aa217d6153a094.webp,https://img5.lalafo.com/i/posters/api/41/38/88/cd38fcca7be0aa217d6153a094.jpeg",280 AZN,Metbex mebeli satilir 280m tam idiyal veziyetde usdu tokme mermer
/khyrdalan/ads/genc-otagi-desti-450-azn-id-80177800,"https://img5.lalafo.com/i/posters/api_webp/60/9d/1e/f9d1a9a7ef42c93fbb82ce5a03.webp,https://img5.lalafo.com/i/posters/api/60/9d/1e/f9d1a9a7ef42c93fbb82ce5a03.jpeg",450 AZN,Genc otagi desti 450 azn‼️ 💥normal eziyyetde 💥unvan nermanov r Lali
/khyrdalan/ads/mtbx-mebeli-olcu-270-uzerind-moyka-verilir-qiymt-300-azn-id-80177804,"https://img5.lalafo.com/i/posters/api_webp/60/2d/75/35993757fd4523154e24f8252c.webp,https://img5.lalafo.com/i/posters/api/60/2d/75/35993757fd4523154e24f8252c.jpeg",300 AZN,Mətbəx mebeli ölçü 2.70 üzerində moyka verilir qiymət 300 azn ünvan
/khyrdalan/ads/bu-aya-ozel-endirim-cemi-70-azn-id-56585725,"https://img5.lalafo.com/i/posters/api_webp/9d/b0/79/cc69c99e427a57dc47768b35c9.webp,https://img5.lalafo.com/i/posters/api/9d/b0/79/cc69c99e427a57dc47768b35c9.jpeg",135 AZN,✔️bu aya özel endirim cemi 75 azn ✔️qiymet sondur xahis edirem
/baku/ads/window-plastic-door-id-86159806,"https://img5.lalafo.com/i/posters/api_webp/47/8b/94/667b7c729df13d46870e2ba758.webp,https://img5.lalafo.com/i/posters/api/47/8b/94/667b7c729df13d46870e2ba758.jpeg",80 AZN,Pəncərələr | Plastik
/baku/ads/tecili-olaraq-temiz-qan-pitbul-satilir-cute-vurulub-dermani-peyvendi-id-105140921,"https://img5.lalafo.com/i/posters/api_webp/31/07/29/7036733abeb68764d81e7ad343.webp,https://img5.lalafo.com/i/posters/api/31/07/29/7036733abeb68764d81e7ad343.jpeg",50 AZN,Tecili olaraq temiz qan pitbul satilir cute vurulub dermani peyvendi
/baku/ads/toywatch-marka-saat-320-azn-alinib-id-101016197,"https://img5.lalafo.com/i/posters/api_webp/27/e2/c7/83536d2e2bfa62c1bdde242b59.webp,https://img5.lalafo.com/i/posters/api/27/e2/c7/83536d2e2bfa62c1bdde242b59.jpeg",120 AZN,Toywatch marka saat. 320 azn alinib
/agdam/ads/prosessor-id-91952422,"https://img5.lalafo.com/i/posters/api_webp/ff/3b/0d/38061c6c532e70fd58a85979d3.webp,https://img5.lalafo.com/i/posters/api/ff/3b/0d/38061c6c532e70fd58a85979d3.jpeg",920 AZN,Prosessor: Intel Core i7 4-cü Nəsil Ekran Ölçüsü: 15.4 düym Qrafik
